,Year,Evaporation,Temperature,Geopotential,Precipitation,Specific_Cloud_Ice_Water_Content,Specific_Cloud_Liquid_Water_Content,Specific_Humidity,U_Component_of_Wind,V_Component_of_Wind
0,2001,-2.8299096811679192e-05,266.93768310546875,57505.875,0.0005274407449178398,1.0688469274100498e-06,8.905480171961244e-06,0.00143829092849046,1.4681328535079956,-0.3812640607357025
1,2002,-2.7182226403965615e-05,267.3570861816406,57568.625,0.0005860146484337747,9.435696597392962e-07,8.968810107035097e-06,0.0015383135760203004,1.5639679431915283,-0.30900508165359497
2,2003,-2.634713746374473e-05,267.1766052246094,57550.14453125,0.0005192357930354774,9.096958137888578e-07,8.49694788485067e-06,0.0014139132108539343,1.9727625846862793,-0.18478132784366608
3,2004,-2.7176623916602693e-05,267.8168029785156,57620.1484375,0.0005671162507496774,8.056074420892401e-07,8.999473720905371e-06,0.001550822053104639,1.7938294410705566,-0.3078382909297943
4,2005,-2.7437306926003657e-05,267.5619201660156,57570.98046875,0.0006032240926288068,9.640364169172244e-07,9.285876330977771e-06,0.0014651741366833448,1.7933416366577148,-0.21517351269721985
5,2006,-2.7939118808717467e-05,267.23931884765625,57503.23828125,0.0005636330461129546,9.812524695007596e-07,9.483126632403582e-06,0.0015345982974395156,1.6206859350204468,-0.4256584644317627
6,2007,-2.6548459572950378e-05,266.93231201171875,57443.734375,0.0005242634797468781,9.446987405681284e-07,8.564603376726154e-06,0.0014059031382203102,1.3783633708953857,-0.3897733688354492
7,2008,-2.7575637432164513e-05,267.1047058105469,57553.78125,0.000567626440897584,1.0193158459514962e-06,8.837063433020376e-06,0.0014313880819827318,1.9874787330627441,-0.49692514538764954
8,2009,-2.7912723453482613e-05,267.9026184082031,57621.11328125,0.0005291910492815077,8.262168762485089e-07,9.142306225840002e-06,0.0014847045531496406,1.5626063346862793,-0.1991630494594574
9,2010,-2.771432809822727e-05,267.29730224609375,57481.96484375,0.0005421306705102324,9.692465710031684e-07,8.760767741478048e-06,0.0014079147949814796,1.3211839199066162,-0.22122354805469513
10,2011,-2.77262442978099e-05,267.23394775390625,57537.91796875,0.0006280800444073975,1.0801472853927407e-06,9.731055797601584e-06,0.0015031518414616585,1.6621438264846802,-0.41653507947921753
11,2012,-2.6978119421983138e-05,267.3265380859375,57558.3046875,0.0005795044708065689,9.31713998397754e-07,9.040061740961391e-06,0.0014586258912459016,2.043250322341919,-0.3769412636756897
12,2013,-2.7288306228001602e-05,267.737548828125,57631.0546875,0.0005375894252210855,8.286236834464944e-07,9.109433449339122e-06,0.001424771617166698,1.5952281951904297,-0.4759994447231293
13,2014,-2.725091326283291e-05,267.1253356933594,57579.71875,0.0005554568488150835,9.181915174849564e-07,8.79401522979606e-06,0.0014830718282610178,1.411612629890442,-0.3133469521999359
14,2015,-2.736604437814094e-05,267.8535461425781,57664.33984375,0.000508658355101943,7.765232794554322e-07,8.705143955012318e-06,0.001415930106304586,1.7711008787155151,-0.41195765137672424
15,2016,-2.699752258195076e-05,267.9854736328125,57645.01953125,0.000518251268658787,8.04341084403859e-07,8.841880116960965e-06,0.0015046934131532907,1.5077487230300903,-0.12298408150672913
16,2017,-2.6244106265949085e-05,267.28863525390625,57562.390625,0.000546342576853931,8.964034918790276e-07,8.940106454247143e-06,0.0014672032557427883,1.924910545349121,-0.4068322479724884
17,2018,-2.7636668164632283e-05,267.9852600097656,57648.09765625,0.0006029962678439915,9.304903301199374e-07,1.0129604561370797e-05,0.0015303591499105096,2.1932976245880127,-0.3208630681037903
18,2019,-2.771911931631621e-05,267.6973571777344,57591.66015625,0.0005698279128409922,9.099572366721986e-07,9.086883437703364e-06,0.0015372843481600285,1.706921100616455,-0.20902518928050995
19,2020,-2.7497304472490214e-05,267.9258117675781,57591.2578125,0.0005120069836266339,8.157208526426984e-07,8.980008715298027e-06,0.0014407180715352297,1.6800183057785034,-0.14131970703601837
